backend,device_type,world_size,size_mb,warmup_iters,timed_iters,rank_mean_ms,rank_min_ms,rank_max_ms
gloo,cpu,2,1,5,20,0.6814166787080467,0.6794895452912897,0.6833438121248037
gloo,cpu,2,10,5,20,2.136580186197534,2.13188961497508,2.1412707574199885
gloo,cpu,2,100,5,20,21.652810275554657,21.652779047144577,21.652841503964737
gloo,cpu,2,1024,5,20,223.9840229100082,223.9839895046316,223.9840563153848
gloo,cpu,4,1,5,20,1.8110088334651664,1.8051687569823116,1.817089505493641
gloo,cpu,4,10,5,20,6.267612973169889,6.265987444203347,6.269737600814551
gloo,cpu,4,100,5,20,58.157490636222064,58.153656346257776,58.16627714666538
gloo,cpu,4,1024,5,20,609.7384536158643,609.7368852002546,609.7414957534056
gloo,cpu,6,1,5,20,3.1100857634252557,3.1010082457214594,3.121933399233967
gloo,cpu,6,10,5,20,12.269705208018422,12.256781343603507,12.278708105441183
gloo,cpu,6,100,5,20,115.30567289252456,115.2986855537165,115.31320409849286
gloo,cpu,6,1024,5,20,1160.4838899394963,1160.4600812715944,1160.5013375054114
